App ID;German;English;Translate
com.badoo.hotornot;So kÃ¶nnen wir die QualitÃ¤t von Videoanrufen und anderen Features in der App verbessern.;This lets us improve the quality of video calls and other features on theÂ app.;This lets us improve the quality of video calls and other features on the app.
no.degree.filemail;;local network;local network
de.gigaset-elements.app;Wird benÃ¶tigt, um dem elements Account eine Go-Box hinzuzufÃ¼gen und zur schnelleren Verbindungen mit Kameras im lokalen Netzwerk.;Required to add Go-Box to Elements account and used to connect faster to cameras in local network.;Required to add Go-Box to Elements account and used to connect faster to cameras in local network.
com.ubnt.wifiman;Allowing access lets WiFiman detect devices on your network for local speed tests.;Allowing access lets WiFiman detect devices on your network for local speed tests.;Allowing access lets WiFiman detect devices on your network for local speed tests.
com.gaiam.gaiamtv.ios;;This permission is used to enable screencasting to devices on your network;This permission is used to enable screencasting to devices on your network
com.adobe.lrmobilephone;;Lightroom uses the local network to download pictures faster if you have another device with the same catalog in this network;Lightroom uses the local network to download pictures faster if you have another device with the same catalog in this network
com.etekcity.vesyncPlatform;VeSync benÃ¶tigt eine Berechtigung zum Erkennen und Verbinden von GerÃ¤ten in Ihrem lokalen Netzwerk.;VeSync needs permission to discover and connect to devices on your local network.;VeSync needs permission to discover and connect to devices on your local network.
com.teslamotors.TeslaApp;;Allow Tesla to find local networks;Allow Tesla to find local networks
com.bshg.homeconnect;Home Connect benutzt das lokale Netzwerk, um sich mit einem HausgerÃ¤t zu verbinden.;Home Connect uses the local network to connect to home appliances.;Home Connect uses the local network to connect to home appliances.
com.amazon.AmazonDE;;"Only programs and features that you've allowed to access the local network can use it. For example: to help discover
and setup Alexa devices on your network.";"Only programs and features that you've allowed to access the local network can use it. For example: to help discover
and setup Alexa devices on your network."
com.zhangyue.ew6w;;This App Uses the local network to connect with players around you.;This App Uses the local network to connect with players around you.
de.telekom.Kundencenter;Dies ist notwendig, damit der Check durchgefÃ¼hrt werden kann.;We need this permission to test the quality of your connection.;MeinMagenta requires this permission to test the quality of your connection.
tv.lifechurch.bible;Die Bibel App verwendet das lokale Netzwerk, um cast-fÃ¤hige GerÃ¤te in deinem WLAN-Netzwerk zu erkennen.;Bible uses the local network to discover Cast-enabled devices on your Wi-Fi network.;Bible uses the local network to discover Cast-enabled devices on your Wi-Fi network.
com.turkcell.bip;Das lokale GerÃ¤t wird verwendet, um eine Ende-zu-Ende-Verbindung aufzubauen.;Local device is used for end to end connection.;The local device is used to install a through connection.
com.ubisoft.dance.JustDance;;JustDanceNow uses the local network to discover Cast-enabled devices on your WiFi network.;JustDanceNow uses the local network to discover Cast-enabled devices on your WiFi network.
com.radioopt.TrafficMonitor;;We access the local network to enrich your speed tests with additional bandwidth information.;We access the local network to enrich your speed tests with additional bandwidth information.
ch.xample.Airnav;;Local Network permission is required to connect to Flight Simulators on your local network;Local Network permission is required to connect to Flight Simulators on your local network
com.rewe.iosapp;;Atlantis would use Bonjour Service to discover Proxyman app from your local network.;Atlantis would use Bonjour Service to discover Proxyman app from your local network.
de.sevenoneintermedia.ran;Diese App kann GerÃ¤te in Netzwerken, die du verwendest, entdecken und eine Verbindung herstellen.;;This app can discover devices in networks you use and establish a connection.
com.groupeseb.aspi-robot;Diese Anwendung ist in der Lage, die von Ihnen verwendeten Netzwerke zu erkennen und Ihren Roboter mit dem Internet zu verbinden, um ihn aus der Ferne zu steuern.;This application will be able to discover the networks you use and connect your robot to the internet in order to be able to control it remotely. ;This application will be able to discover the networks you use and connect your robot to the internet in order to be able to control it remotely.
com.bitsmedia.muslimpro;Muslim Pro benÃ¶tigt Ihre Erlaubnis zum Zugriff auf das lokale Netzwerk, um Cast-fÃ¤hige GerÃ¤te in Ihrem WiFi-Netzwerk zu erkennen.;Muslim Pro needs your permission to access the local network to discover Cast-enabled devices on your WiFi network.;LocalNetworkusagededeScripction
com.lightcut.videoeditor;;â€œLightCutâ€ would like to require access to the local network to find and connect to the devices on the local network you use.;â€œLightCutâ€ would like to require access to the local network to find and connect to the devices on the local network you use.
com.nestlabs.jasper.release;Die App verwendet das lokale Netzwerk, um die verbundenen GerÃ¤te einzurichten und zu steuern.;The app uses the local network to set up and control your connected devices.;The app uses the local network to set up and control your connected devices.
com.somfy.homeapp;;TaHoma uses your local network to find your gateway;TaHoma uses your local network to find your gateway
com.cbs.canada.app;;Paramount+ would like to connect to devices on your local network. This will allow you to automatically sign in and stream on those devices.;Paramount+ would like to connect to devices on your local network. This will allow you to automatically sign in and stream on those devices.
com.netflix.Netflix;Damit kÃ¶nnen Sie das, was Sie auf Ihrem iPhone oder iPad ansehen, ganz einfach auf Ihren Smart-TV oder Ihre Streaming-GerÃ¤te Ã¼bertragen, um die Wiedergabe auf einem grÃ¶ÃŸeren Bildschirm zu genieÃŸen.;This will let you easily send what you're watching on your iPhone or iPad to your smart TV or streaming devices for bigger screen enjoyment.;This will let you easily send what you're watching on your iPhone or iPad to your smart TV or streaming devices for bigger screen enjoyment.
com.cisco.squared;;Webex needs access to local network to ensure call quality for calls on this network.;Webex needs access to local network to ensure call quality for calls on this network.
tv.airbeam.mirrorforpanasonictvios;Mirror fÃ¼r Panasonic TV verwendet das lokale Netzwerk, um Ihren Fernseher zu finden und Video und Audio an den Fernseher zu senden.;We need to scan for chromecast devices;We need to scan for chromecast devices
com.brother.mfc.Shenlong;"""Mobile Connect"" den Zugriff auf andere, mit Ihrem Netzwerk verbundene GerÃ¤te erlauben.";"Allow ""Mobile Connect"" to access other devices connected to your network.";Find your Brother machine via local network.
com.cluelesspenguin.YogaDatabase;;"YogaDatabase uses the local network to discover Cast-enabled devices on your WiFi
            network.";"YogaDatabase uses the local network to discover Cast-enabled devices on your WiFi
            network."
de.exaring.waipu;FÃ¼r Casting und den Magic Login muss die App sehen kÃ¶nnen, welche GerÃ¤te sich im gleichen Netzwerk befinden.;;For casting and the Magic login, the app must be able to see which devices are in the same network.
com.soundcloud.TouchApp;;SoundCloud uses the local network to discover Cast-enabled devices on your WiFi network.;SoundCloud uses the local network to discover Cast-enabled devices on your WiFi network.
